id,topics,url,provider_id,active
1466,"""falcon oil &amp; gas""",/alerts/feeds/08149589272187065929/5014749299079806486,1,1
1468,"""first majestic silver corp"" OR AG",/alerts/feeds/08149589272187065929/5014749299079805836,1,1
1471,"""first quantum""",/alerts/feeds/08149589272187065929/10566481430270319574,1,1
1472,"""first solar inc"" OR FSLR",/alerts/feeds/08149589272187065929/10566481430270319730,1,1
1477,"""franco-nevada corporation"" OR FNV-TSE",/alerts/feeds/08149589272187065929/5014749299079803122,1,1
1491,"""glencore plc"" OR GLEN-LON",/alerts/feeds/08149589272187065929/13976854286007785942,1,1
1495,"""gold fields limited sponsored adr"" OR GFI",/alerts/feeds/08149589272187065929/10566481430270319977,1,1
1496,"""gold fields""",/alerts/feeds/08149589272187065929/13976854286007784162,1,1
1497,"""gold royalty""",/alerts/feeds/08149589272187065929/5014749299079805168,1,1
1498,"""goldcorp inc"" OR GG",/alerts/feeds/08149589272187065929/5014749299079805424,1,1
1510,"""halliburton company"" OR HAL",/alerts/feeds/08149589272187065929/13976854286007786588,1,1
1511,"""harmony gold""",/alerts/feeds/08149589272187065929/10566481430270320314,1,1
1516,"""highlands pacific""",/alerts/feeds/08149589272187065929/5014749299079805273,1,1
1517,"""hindustan petroleum""",/alerts/feeds/08149589272187065929/10566481430270318872,1,1
1519,"""impala platinum""",/alerts/feeds/08149589272187065929/13976854286007784914,1,1
1520,"""incitec pivot""",/alerts/feeds/08149589272187065929/5014749299079806614,1,1
1525,"""integra resources""",/alerts/feeds/08149589272187065929/5014749299079806852,1,1
1528,"""ipath s&amp;p gsci crude oil total return index etn"" OR OIL",/alerts/feeds/08149589272187065929/10566481430270319470,1,1
1529,"""ivanhoe mines""",/alerts/feeds/08149589272187065929/13976854286007784241,1,1
1533,"""jindal steel""",/alerts/feeds/08149589272187065929/10566481430270316699,1,1
1538,"""kenmare resources""",/alerts/feeds/08149589272187065929/10566481430270319613,1,1
1540,"""kmg chemicals""",/alerts/feeds/08149589272187065929/5014749299079803650,1,1
1543,"""korea zinc""",/alerts/feeds/08149589272187065929/5014749299079804509,1,1
1544,"""Kuala Lumpur Kepong""",/alerts/feeds/08149589272187065929/13976854286007784501,1,1
1545,"""kumba iron ore""",/alerts/feeds/08149589272187065929/13976854286007785819,1,1
1552,"""market vectors gold miners etf gold miners fund"" OR GDX",/alerts/feeds/08149589272187065929/5014749299079805630,1,1
1553,"""market vectors junior gold miners etf"" OR GDXJ",/alerts/feeds/08149589272187065929/13976854286007786417,1,1
1557,"""midstream holdings""",/alerts/feeds/08149589272187065929/13976854286007786480,1,1
1561,"""mincor resources""",/alerts/feeds/08149589272187065929/5014749299079804820,1,1
1564,"""mittal steel""",/alerts/feeds/08149589272187065929/5014749299079803374,1,1
1573,"""nippon yusen kabushiki kaisha"" OR 9101-TKS",/alerts/feeds/08149589272187065929/5014749299079806948,1,1
1575,"""novagold resources inc"" OR NG-TSE",/alerts/feeds/08149589272187065929/5014749299079804962,1,1
1577,"""oasis petroleum""",/alerts/feeds/08149589272187065929/5014749299079803836,1,1
1578,"""oil and natural gas Corporation""",/alerts/feeds/08149589272187065929/13976854286007785974,1,1
1581,"""origin energy""",/alerts/feeds/08149589272187065929/13976854286007784471,1,1
1582,"""oz minerals""",/alerts/feeds/08149589272187065929/5014749299079804454,1,1
1584,"""pakistan state oil""",/alerts/feeds/08149589272187065929/13976854286007784377,1,1
1585,"""peabody energy corporation"" OR BTU",/alerts/feeds/08149589272187065929/5014749299079805154,1,1
1587,"""pioneer natural resources company"" OR PXD",/alerts/feeds/08149589272187065929/13976854286007785727,1,1
1591,"""posco"" OR 005490-KRX",/alerts/feeds/08149589272187065929/5014749299079806450,1,1
1593,"""pre-salt""",/alerts/feeds/08149589272187065929/13976854286007786634,1,1
1602,"""range resources corporation"" OR RRC",/alerts/feeds/08149589272187065929/10566481430270320302,1,1
1603,"""range resources""",/alerts/feeds/08149589272187065929/5014749299079802903,1,1
1606,"""reliance industries""",/alerts/feeds/08149589272187065929/10566481430270316621,1,1
1609,"""rio tinto plc"" OR RIO-LON",/alerts/feeds/08149589272187065929/10566481430270318807,1,1
1611,"""royal bank of scotland"" OR RBS",/alerts/feeds/08149589272187065929/13976854286007785376,1,1
1613,"""s-oil""",/alerts/feeds/08149589272187065929/10566481430270320276,1,1
1617,"""seabridge gold""",/alerts/feeds/08149589272187065929/5014749299079805603,1,1
1627,"""silvercorp metals""",/alerts/feeds/08149589272187065929/5014749299079805525,1,1
1634,"""sold interests"" OR ""sells interests"" OR ""divests""",/alerts/feeds/08149589272187065929/13976854286007785896,1,1
1636,"""southern copper""",/alerts/feeds/08149589272187065929/13976854286007786970,1,1
1644,"""suncor energy inc"" OR SU-TSE",/alerts/feeds/08149589272187065929/10566481430270316725,1,1
1645,"""suncor energy""",/alerts/feeds/08149589272187065929/13976854286007785928,1,1
1651,"""tata steel europe""",/alerts/feeds/08149589272187065929/13976854286007786141,1,1
1655,"""Tokyo Electric Power""",/alerts/feeds/08149589272187065929/13976854286007784807,1,1
1656,"""total s.a.""",/alerts/feeds/08149589272187065929/13976854286007785591,1,1
1659,"""tullow oil""",/alerts/feeds/08149589272187065929/13976854286007786020,1,1
1664,"""vedanta resources""",/alerts/feeds/08149589272187065929/5014749299079806967,1,1
1681,"""zijin mining""",/alerts/feeds/08149589272187065929/13976854286007784178,1,1
1686,"""Adaro Energy""",/alerts/feeds/08149589272187065929/5014749299079805173,1,1
1688,agriculture,/alerts/feeds/08149589272187065929/13976854286007785604,1,1
1690,"""algal fuel""",/alerts/feeds/08149589272187065929/10566481430270320588,1,1
1694,alumina,/alerts/feeds/08149589272187065929/13976854286007787384,1,1
1699,"""anaerobic digestion""",/alerts/feeds/08149589272187065929/5014749299079803383,1,1
1702,"""anglo American platinum""",/alerts/feeds/08149589272187065929/13976854286007784517,1,1
1704,"""antofagasta Plc""",/alerts/feeds/08149589272187065929/5014749299079805562,1,1
1707,aramco,/alerts/feeds/08149589272187065929/5014749299079803447,1,1
1708,b2gold,/alerts/feeds/08149589272187065929/5014749299079802994,1,1
1709,bakken,/alerts/feeds/08149589272187065929/5014749299079804573,1,1
1710,bakken Crude,/alerts/feeds/08149589272187065929/10566481430270319119,1,1
1715,"""barrick Gold""",/alerts/feeds/08149589272187065929/5014749299079804756,1,1
1716,"""battery technology"" OR ""battery production""",/alerts/feeds/08149589272187065929/5014749299079803301,1,1
1718,"""bharat petroleum""",/alerts/feeds/08149589272187065929/10566481430270318742,1,1
1720,biofuel OR biofuels,/alerts/feeds/08149589272187065929/10566481430270316726,1,1
1721,biogas,/alerts/feeds/08149589272187065929/13976854286007785620,1,1
1724,"""bougainville copper""",/alerts/feeds/08149589272187065929/13976854286007784378,1,1
1725,BP plc,/alerts/feeds/08149589272187065929/5014749299079806061,1,1
1726,buenaventura,/alerts/feeds/08149589272187065929/13976854286007785773,1,1
1728,"""cairn energy""",/alerts/feeds/08149589272187065929/10566481430270318547,1,1
1729,caltex,/alerts/feeds/08149589272187065929/10566481430270320483,1,1
1732,"""centerra gold""",/alerts/feeds/08149589272187065929/5014749299079803173,1,1
1733,chalcopyrite,/alerts/feeds/08149589272187065929/5014749299079805598,1,1
1737,cnooc,/alerts/feeds/08149589272187065929/10566481430270319327,1,1
1738,coal,/alerts/feeds/08149589272187065929/10566481430270320340,1,1
1739,"""coffee market"" OR ""coffee exports"" OR ""coffee production""",/alerts/feeds/08149589272187065929/10566481430270317637,1,1
1740,"""coking coal""",/alerts/feeds/08149589272187065929/10566481430270318858,1,1
1741,"""combined heat power""",/alerts/feeds/08149589272187065929/13976854286007784285,1,1
1742,"""construction  permit""",/alerts/feeds/08149589272187065929/5014749299079806550,1,1
1743,"""contango oil"" OR ""contango gas""",/alerts/feeds/08149589272187065929/5014749299079804669,1,1
1744,copper,/alerts/feeds/08149589272187065929/10566481430270319391,1,1
1746,cotton price OR production -greaves -fearne,/alerts/feeds/08149589272187065929/5014749299079803292,1,1
1751,downhole,/alerts/feeds/08149589272187065929/5014749299079806248,1,1
1752,drought,/alerts/feeds/08149589272187065929/5014749299079805447,1,1
1754,ecopetrol,/alerts/feeds/08149589272187065929/10566481430270318716,1,1
1755,electricity shortage,/alerts/feeds/08149589272187065929/10566481430270320236,1,1
1757,eog,/alerts/feeds/08149589272187065929/10566481430270318052,1,1
1758,eramet,/alerts/feeds/08149589272187065929/5014749299079805017,1,1
1760,exxaro,/alerts/feeds/08149589272187065929/5014749299079804724,1,1
1761,exxon mobil,/alerts/feeds/08149589272187065929/13976854286007786987,1,1
1767,france gas OR shale,/alerts/feeds/08149589272187065929/13976854286007787201,1,1
1771,gas processing,/alerts/feeds/08149589272187065929/10566481430270320172,1,1
1772,gazprom,/alerts/feeds/08149589272187065929/13976854286007783978,1,1
1776,gold drill results,/alerts/feeds/08149589272187065929/10566481430270318768,1,1
1778,haynesville shale OR oil,/alerts/feeds/08149589272187065929/13976854286007787355,1,1
1780,hindalco,/alerts/feeds/08149589272187065929/5014749299079804193,1,1
1781,horn river shale OR oil,/alerts/feeds/08149589272187065929/13976854286007786724,1,1
1782,hot rolled coil,/alerts/feeds/08149589272187065929/13976854286007787169,1,1
1785,iron ore production OR extraction OR mining,/alerts/feeds/08149589272187065929/10566481430270320262,1,1
1792,livestock,/alerts/feeds/08149589272187065929/5014749299079803223,1,1
1793,Lloyds TSB,/alerts/feeds/08149589272187065929/10566481430270316765,1,1
1794,lukoil,/alerts/feeds/08149589272187065929/10566481430270320366,1,1
1795,maanshan iron and steel,/alerts/feeds/08149589272187065929/5014749299079805795,1,1
1798,mercer gold,/alerts/feeds/08149589272187065929/13976854286007785268,1,1
1800,mine development,/alerts/feeds/08149589272187065929/13976854286007784824,1,1
1801,mineral deposits,/alerts/feeds/08149589272187065929/13976854286007785788,1,1
1804,molybdenum,/alerts/feeds/08149589272187065929/5014749299079805324,1,1
1806,montney shale OR oil,/alerts/feeds/08149589272187065929/13976854286007784454,1,1
1809,niobrara oil OR shale OR drilling,/alerts/feeds/08149589272187065929/5014749299079805740,1,1
1811,non-payment,/alerts/feeds/08149589272187065929/5014749299079803003,1,1
1816,offshore wind,/alerts/feeds/08149589272187065929/13976854286007787338,1,1
1817,oil production OR development OR price,/alerts/feeds/08149589272187065929/5014749299079803717,1,1
1818,oil well analysis OR research OR report OR estimate,/alerts/feeds/08149589272187065929/13976854286007787046,1,1
1820,organic,/alerts/feeds/08149589272187065929/5014749299079805891,1,1
1821,osisko,/alerts/feeds/08149589272187065929/5014749299079804184,1,1
1825,permian basin,/alerts/feeds/08149589272187065929/13976854286007784975,1,1
1826,petrobras Oil,/alerts/feeds/08149589272187065929/10566481430270319353,1,1
1827,petrochina,/alerts/feeds/08149589272187065929/13976854286007786924,1,1
1828,petrofac,/alerts/feeds/08149589272187065929/10566481430270319080,1,1
