id,topics
243,BAYER AG-REG
244,NORDSTROM INC
245,PICC P&C-H
246,FISERV INC
247,INSULET CORP
248,DASSAULT SYSTEME
249,CARNIVAL CORP
250,WOLTERS KLUWER
251,DOMINION ENERGY
252,BRISTOL-MYER SQB
253,JAPAN AIR TERMIN
254,PROCTER & GAMBLE
255,SCHWAB (CHARLES)
256,WALT DISNEY CO/T
257,OVINTIV INC
258,ASTRAZENECA PLC
259,NINTENDO CO LTD
260,MICROPORT SCIENT
261,SCHINDLER HLD-PC
262,CHINA MOBILE
263,BANK NY MELLON
264,ALIBABA GRP-ADR
265,AMERICAN ELECTRI
266,NEL ASA
267,TELEFLEX INC
268,BANCO SANTA-UNIT
269,OKTA INC
270,AUTOZONE INC
271,LAMAR ADVERTIS-A
272,M&T BANK CORP
273,SHANGRI-LA ASIA
274,WATSCO INC
275,ACCENTURE PLC-A
276,VODAFONE GROUP
277,UNILEVER PLC
278,CAPITALAND ASCEN
279,ICON PLC
280,CENTRE TESTING-A
281,WPP PLC
282,ENDEAVOR GROUP-A
283,ROCKWELL AUTOMAT
284,MICROSOFT CORP
285,FANUC CORP
286,KINDER MORGAN IN
287,CHART INDUSTRIES
288,MERCADOLIBRE INC
289,ADV MICRO DEVICE
290,FUJI MEDIA HOLDI
291,CHURCH & DWIGHT
292,HSBC HOLDINGS PL
293,CROWN CASTLE INC
294,THERMO FISHER
295,ORSTED A/S
296,CITIZENS FINANCI
297,GXO LOGISTIC
298,DISCOVER FINANCI
299,NIPPON TELEGRAPH
300,ZOETIS INC
301,AVERY DENNISON
302,ESSITY AKTIEBO-B
303,THE CIGNA GROUP
304,HOTEL SHILLA CO
305,ALBEMARLE CORP
306,INTERCONTINENTAL
307,RELX PLC
308,FIFTH THIRD BANC
309,KPN (KONIN) NV
310,KELLANOVA
311,SGS SA-REG
312,CALBEE INC
313,ZOOM VIDEO COM-A
314,IMCD NV
315,AGILENT TECH INC
316,DHL GROUP
317,GRAPHIC PACKAGIN
318,PLANET FITNESS-A
319,VALVOLINE INC
320,OMNICOM GROUP
321,STRYKER CORP
322,BANGKOK BANK PUB
323,OCBC BANK
324,WEYERHAEUSER CO
325,POLARIS INC
326,WH SMITH PLC
327,SYNOPSYS INC
328,COMCAST CORP-A
329,UNIVERSAL MUSIC
330,AVANGRID INC
331,CHINA RESOURCES
332,ENTEGRIS INC
333,SMC CORP
334,SHIMADZU CORP
335,CLOUDFLARE INC-A
336,ICICI PRUDENTIAL
337,MSCI INC
338,AMERICAN TOWER C
339,BOSTON PROPERTIE
340,ITM POWER PLC
341,COLOPLAST-B
342,AIRPORTS OF THAI
343,NOVARTIS AG-REG
344,CHINA MERCHANTS
345,TELENOR ASA
346,WARNER MUSIC-A
347,DAIFUKU CO LTD
348,CKI HOLDINGS
349,ANSYS INC
350,KONE OYJ-B
351,CREDICORP LTD
352,ESTEE LAUDER
353,WHARF HLDG
354,SHELL PLC
355,DOOSAN FUEL CELL
356,BAXTER INTL INC
357,MARATHON OIL
358,SEVEN & I HOLDIN
359,AVANTOR INC
360,KYOCERA CORP
361,SALESFORCE INC
362,AMGEN INC
363,ADP
364,AUTODESK INC
365,PRUDENTIAL PLC
366,KANSAI PAINT
367,SERVICENOW INC
368,LEGRAND SA
369,AENA SME SA
370,KOH YOUNG TECHNO
371,TELEDYNE TECH
372,FOMENTO ECON-ADR
373,YASKAWA ELECTRIC
374,OTIS WORLDWI
375,YUM! BRANDS INC
376,STANLEY BLACK &
377,TAKE-TWO INTERAC
378,BAIDU INC-SP ADR
379,MASTERCARD INC-A
380,GUARDANT HEALTH
381,YUM CHINA HO
382,CAPITAL ONE FINA
383,CMS ENERGY CORP
384,AUTOMATIC DATA
385,VEOLIA ENVIRONNE
386,WATERS CORP
387,NASDAQ INC
388,MORGAN STANLEY
389,BT GROUP PLC
390,MCCORMICK-N/V
391,DAIKIN INDS
392,CENCORA INC
393,EOG RESOURCES
394,SAGE GROUP
395,PERNOD RICARD SA
396,TRIMBLE INC
397,JAPAN POST BANK
398,TE CONNECTIVITY
399,VISA INC-CLASS A
400,SCENTRE GROUP
401,AIRBNB INC-A
402,DIGITAL REALTY
403,ADT INC
404,AMDOCS LTD
405,KEYCORP
406,SCHLUMBERGER LTD
407,APTIV PLC
408,INTUIT INC
409,EXPEDITORS INTL
410,ASSA ABLOY AB-B
411,ABBVIE INC
412,NEWMONT CORP
413,NATIONAL GRID PL
414,ELECTRONIC ARTS
415,CADENCE DESIGN
416,BEIERSDORF AG
417,NIPPON PROLOGIS
418,VITASOY INTL HLD
419,COCA-COLA CO/THE
420,AMERICA MOVIL SA
421,YAMAHA CORP
422,HOYA CORP
423,VERIZON COMMUNIC
424,OCCIDENTAL PETE
425,SATS LTD
426,EDISON INTL
427,ROLLINS INC
428,TOKYU CORP
429,PEPSICO INC
430,CONS EDISON INC
431,WORKDAY INC-A
432,DENA CO LTD
433,FRESENIUS MEDICA
434,LVMH MOET HENNE
435,CISCO SYSTEMS
436,ADYEN NV
437,MOODY'S CORP
438,ABBOTT LABS
439,UBER TECHNOLOGIE
440,CHENIERE ENERGY
441,VERISK ANALYTI
442,BLOCK INC
443,DNB BANK ASA
444,LYONDELLBASELL-A
445,LAND SECURITIES
446,THAI BEVERAGE
447,SYSMEX CORP
448,BP PLC
449,ANHEUSER-BUSCH I
450,AIR LIQUIDE SA
451,ORANGE
452,MORNINGSTAR INC
453,NUTRIEN LTD
454,FORTIVE CORP
455,KIKKOMAN CORP
456,PAYPAL HOLDINGS
457,LINDE PLC
458,LIVE NATION ENTE
459,UNITED PARCEL-B
460,CONSTELLATION-A
461,CANADIAN PACIFIC
462,CLOROX CO
463,BIOMERIEUX
464,SMITH & NEPHEW
465,VIVENDI SE
466,BUNZL PLC
467,HALLIBURTON CO
468,CENTENE CORP
469,BOOKING HOLDINGS
470,CENTRICA PLC
471,LINCOLN ELECTRIC
472,ENBRIDGE INC
473,ILLINOIS TOOL WO
474,RYMAN HOSPITALIT
475,SS&C TECHNOLOGIE
476,CAPITALAND INTEG
477,CHRISTIAN DIOR
478,AIA
479,PROSPERITY BNCSH
480,AT&T INC
481,PAGSEGURO DIGI-A
482,ADVANCED INFO
483,HOUSE FOODS GROU
484,DUPONT DE NEMOUR
485,US BANCORP
486,SHK PPT
487,CERES POWER HOLD
488,IDEXX LABS
489,TELIA CO AB
490,SK TELECOM
491,PARTNERS GROUP J
492,IBERDROLA SA
493,SAMSONITE INTL
494,BJ ENT HLDGS
495,AIR PRODS & CHEM
496,RECURSION PHAR-A
497,PANASONIC HOLDIN
498,SEGRO PLC
499,SYSCO CORP
500,IBM
501,CHEMED CORP
502,JARDINE MATHESON
503,SYMRISE AG
504,TERNA-RETE ELETT
505,BORGWARNER INC
506,SHENZHEN INOVA-A
507,VONOVIA SE
508,HARMONIC DRIVE
509,CSX CORP
510,PNC FINANCIAL SE
